feature,feature_group,n,missing_n,missing_percent,mean,sd,min,p25,median,p75,max
decimalLatitude,geographic,247406,0,0,-32.72820560796338,5.001791603493746,-43.6093429802392,-35.41611532899373,-33.75457183925144,-31.034572856874004,-9.4119
decimalLongitude,geographic,247406,0,0,147.31226019961278,8.35352798898279,113.538,145.50997826128244,150.6151269889908,151.434,153.63
month,temporal,247406,0,0,7.583938950550916,3.5109153658937426,1,5,9,11,12
day_of_year,temporal,247406,0,0,215.32802761452834,107.12656836417995,1,128,244,310,366
month_sin,temporal,247406,0,0,-0.27792206781075524,0.6758110184097904,-1,-0.8660254037844386,-0.5000000000000004,0.49999999999999994,1
month_cos,temporal,247406,0,0,0.05971369849786763,0.6800564543999567,-1,-0.5000000000000004,6.123031769111886e-17,0.5000000000000001,1
day_of_year_sin,temporal,247406,0,0,-0.2533579537090011,0.676993362825885,-0.9999907397361901,-0.8359254794186365,-0.5160623910158526,0.3366372842469106,0.9999907397361901
day_of_year_cos,temporal,247406,0,0,0.12397213343674308,0.6797972966211367,-1,-0.5197438121555157,0.2595117970697999,0.7383263540031063,1
BIO1,environmental,247406,4806,1.9425559606476805,16.816482673914887,3.074049457983931,3.870833396911621,14.604166984558105,17.125,18.570833206176758,28.433332443237305
BIO2,environmental,247406,4806,1.9425559606476805,10.47752403153925,1.6308342734187808,4.558333396911621,9.266666412353516,10.341666221618652,11.574999809265137,16.46666717529297
BIO3,environmental,247406,4806,1.9425559606476805,48.63524501962497,2.7123615009229813,34.154930114746094,46.86991882324219,48.22275161743164,50.37128829956055,68.458770751953125
BIO4,environmental,247406,4806,1.9425559606476805,405.5838917887437,68.61491853092964,100.81768798828125,370.3282165527344,397.02947998046875,430.2712097167969,664.1324462890625
BIO5,environmental,247406,4806,1.9425559606476805,27.648944334504236,2.520553631016497,15.300000190734863,26,27.299999237060547,29.299999237060547,40.5
BIO6,environmental,247406,4806,1.9425559606476805,6.09407914456539,3.33196394177466,-7.699999809265137,4.199999809265137,6.199999809265137,7.900000095367432,22.700000762939453
BIO7,environmental,247406,4806,1.9425559606476805,21.554865206359146,3.2338761482511305,8.799999237060547,19.399999618530273,21.299999237060547,23.200000762939453,32.5
BIO8,environmental,247406,4806,1.9425559606476805,18.29773398845394,5.844220770857911,-0.416666716337204,12.65000057220459,21.133333206176758,22.53333282470703,31.55000114440918
BIO9,environmental,247406,4806,1.9425559606476805,15.537516287520026,4.051538493797553,2.6666667461395264,12.90000057220459,15.066666603088379,18.649999618530273,27.450000762939453
BIO10,environmental,247406,4806,1.9425559606476805,21.66740277772685,2.6684418472052984,9.316666603088379,19.69999885559082,21.833332061767578,23.350000381469727,31.916667938232422
BIO11,environmental,247406,4806,1.9425559606476805,11.653615901945537,3.422116757983192,-2.433333396911621,9.449999809265137,11.850000381469727,13.533332824707031,25.633333206176758
BIO12,environmental,247406,4806,1.9425559606476805,1045.2737551525145,370.30210049311813,162,765,1002,1246,5182
BIO13,environmental,247406,4806,1.9425559606476805,144.84417147568013,85.97413582320065,24,90,134,163,1176
BIO14,environmental,247406,4806,1.9425559606476805,41.88251854905194,15.700308118762477,0,34,43,51,128
BIO15,environmental,247406,4806,1.9425559606476805,36.44913767606684,20.885431549397335,8.963379859924316,23.523357391357422,29.881921768188477,44.499722480773926,143.40557861328125
BIO16,environmental,247406,4806,1.9425559606476805,395.98100164880464,211.86902670324233,65,251,378,451,2765
BIO17,environmental,247406,4806,1.9425559606476805,147.80699917559772,51.46026895192657,1,121,151,184,570
BIO18,environmental,247406,4806,1.9425559606476805,311.5180585325639,198.5109546700369,28,163,303,397,2045
BIO19,environmental,247406,4806,1.9425559606476805,213.72681780708984,87.04398509497776,1,154,208,250,884
elevation,environmental,247406,4806,1.9425559606476805,187.55646331409727,255.07414179565905,-3,26,76,218,2130
climatological_tavg_event_month,environmental,247406,4806,1.9425559606476805,16.84307254901222,5.235285354863733,-0.30000001192092896,12.800000190734863,17.100000381469727,20.899999618530273,32.5
climatological_prec_event_month,environmental,247406,4806,1.9425559606476805,91.65901071723002,57.64616703044818,0,59,79,109,1110
