"feature","rows","missing_n","missing_percent","distinct_complete_values","minimum","q25","median","q75","maximum","mean","sd","iqr","skewness","iqr_flagged_n","iqr_flagged_percent"
"BIO1",247406,4806,1.94255596064768,4597,3.87083339691162,14.6041669845581,17.125,18.5708332061768,28.4333324432373,16.8164826739149,3.07404945798393,3.96666622161865,0.338033156353845,6477,2.66982687551525
"BIO2",247406,4806,1.94255596064768,1985,4.55833339691162,9.26666641235352,10.3416662216187,11.5749998092651,16.466667175293,10.4775240315393,1.63083427341878,2.30833339691162,0.218433333930746,403,0.166117065127782
"BIO3",247406,4806,1.94255596064768,21854,34.1549301147461,46.8699188232422,48.2227516174316,50.3712882995605,68.4587707519531,48.635245019625,2.71236150092298,3.50136947631836,0.763710134583566,3933,1.62118713932399
"BIO4",247406,4806,1.94255596064768,33873,100.817687988281,370.328216552734,397.029479980469,430.271209716797,664.132446289062,405.583891788744,68.6149185309296,59.9429931640625,0.231894993095542,31499,12.9839241549876
"BIO5",247406,4806,1.94255596064768,236,15.3000001907349,26,27.2999992370605,29.2999992370605,40.5,27.6489443345042,2.5205536310165,3.29999923706055,-0.027011706651989,3947,1.62695795548228
"BIO6",247406,4806,1.94255596064768,280,-7.69999980926514,4.19999980926514,6.19999980926514,7.90000009536743,22.7000007629395,6.09407914456539,3.33196394177466,3.70000028610229,0.566978216714825,10564,4.35449299258038
"BIO7",247406,4806,1.94255596064768,484,8.79999923706055,19.3999996185303,21.2999992370605,23.2000007629395,32.5,21.5548652063591,3.23387614825113,3.80000114440918,0.356962998484244,3757,1.54863973619126
"BIO8",247406,4806,1.94255596064768,2333,-0.416666716337204,12.6500005722046,21.1333332061768,22.533332824707,31.5500011444092,18.2977339884539,5.84422077085791,9.88333225250244,-0.454991285714043,0,0
"BIO9",247406,4806,1.94255596064768,1854,2.66666674613953,12.9000005722046,15.0666666030884,18.6499996185303,27.4500007629395,15.53751628752,4.05153849379755,5.74999904632568,0.222330717458907,116,0.0478153338829349
"BIO10",247406,4806,1.94255596064768,1586,9.31666660308838,19.6999988555908,21.8333320617676,23.3500003814697,31.9166679382324,21.6674027777268,2.6684418472053,3.65000152587891,-0.116027764522459,3343,1.37798845836768
"BIO11",247406,4806,1.94255596064768,2034,-2.43333339691162,9.44999980926514,11.8500003814697,13.533332824707,25.6333332061768,11.6536159019455,3.42211675798319,4.08333301544189,0.568680243272181,9079,3.74237427864798
"BIO12",247406,4806,1.94255596064768,2117,162,765,1002,1246,5182,1045.27375515251,370.302100493118,481,1.66278726525186,3851,1.58738664468261
"BIO13",247406,4806,1.94255596064768,671,24,90,134,163,1176,144.84417147568,85.9741358232007,73,3.48340717360416,10496,4.32646331409728
"BIO14",247406,4806,1.94255596064768,117,0,34,43,51,128,41.8825185490519,15.7003081187625,17,-0.300260359636288,12453,5.13314097279472
"BIO15",247406,4806,1.94255596064768,35645,8.96337985992432,23.5233573913574,29.8819217681885,44.4997224807739,143.405578613281,36.4491376760668,20.8854315493973,20.9763650894165,1.71231619965538,21929,9.03915910964551
"BIO16",247406,4806,1.94255596064768,1343,65,251,378,451,2765,395.981001648805,211.869026703242,200,3.03573903961002,9683,3.99134377576257
"BIO17",247406,4806,1.94255596064768,377,1,121,151,184,570,147.806999175598,51.4602689519266,63,-0.316980758362266,3371,1.38953009068425
"BIO18",247406,4806,1.94255596064768,1185,28,163,303,397,2045,311.518058532564,198.510954670037,234,1.71709400333887,6712,2.76669414674361
"BIO19",247406,4806,1.94255596064768,668,1,154,208,250,884,213.72681780709,87.0439850949778,96,1.22190579870469,16202,6.67848309975268
"elevation",247406,4806,1.94255596064768,1495,-3,26,76,218,2130,187.556463314097,255.074141795659,192,2.17981184191201,30532,12.5853256389118
"climatological_tavg_event_month",247406,4806,1.94255596064768,312,-0.300000011920929,12.8000001907349,17.1000003814697,20.8999996185303,32.5,16.8430725490122,5.23528535486373,8.09999942779541,-0.0381958599898879,5,0.00206100577081616
"climatological_prec_event_month",247406,4806,1.94255596064768,617,0,59,79,109,1110,91.65901071723,57.6461670304482,50,3.55944155303384,10324,4.2555647155812
